Sample	Reference	Paired	Condition	Experiment	OutputDir	PoolCountFile	Person	Date	Mutant Library	Media	Format	Temperature	pH	Shaking	StartOD	EndOD	Hours	Notes	SetName	Group	Index	short	Condition_1
Aux_Arg_A	Aux_T0_A	TRUE	YNB_Glucose_plus_Arginine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Arginine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Arg	YNB_Glucose_plus_Arginine	YNB_Glucose_plus_Arginine
Aux_Arg_B	Aux_T0_B	TRUE	YNB_Glucose_plus_Arginine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Arginine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Arg	YNB_Glucose_plus_Arginine	YNB_Glucose_plus_Arginine
Aux_Arg_C	Aux_T0_C	TRUE	YNB_Glucose_plus_Arginine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Arginine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Arg	YNB_Glucose_plus_Arginine	YNB_Glucose_plus_Arginine
Aux_DO_A	Aux_T0_A	TRUE	YNB_Glucose_plus_Dropout_Complete	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 0.2% Drop Out Complete Mix"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_DO	YNB_Glucose_plus_Dropout_Complete	YNB_Glucose_plus_Dropout_Complete
Aux_DO_B	Aux_T0_B	TRUE	YNB_Glucose_plus_Dropout_Complete	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 0.2% Drop Out Complete Mix"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_DO	YNB_Glucose_plus_Dropout_Complete	YNB_Glucose_plus_Dropout_Complete
Aux_DO_C	Aux_T0_C	TRUE	YNB_Glucose_plus_Dropout_Complete	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 0.2% Drop Out Complete Mix"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_DO	YNB_Glucose_plus_Dropout_Complete	YNB_Glucose_plus_Dropout_Complete
Aux_Met_A	Aux_T0_A	TRUE	YNB_Glucose_plus_Methionine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Methionine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Met	YNB_Glucose_plus_Methionine	YNB_Glucose_plus_Methionine
Aux_Met_B	Aux_T0_B	TRUE	YNB_Glucose_plus_Methionine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Methionine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Met	YNB_Glucose_plus_Methionine	YNB_Glucose_plus_Methionine
Aux_Met_C	Aux_T0_C	TRUE	YNB_Glucose_plus_Methionine	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose, 75 mM Methionine"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_Met	YNB_Glucose_plus_Methionine	YNB_Glucose_plus_Methionine
Aux_YNB_A	Aux_T0_A	TRUE	YNB_Glucose	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_YNB	YNB_Glucose	YNB_Glucose
Aux_YNB_B	Aux_T0_B	TRUE	YNB_Glucose	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_YNB	YNB_Glucose	YNB_Glucose
Aux_YNB_C	Aux_T0_C	TRUE	YNB_Glucose	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setA	Auxotrophy	Aux_YNB	YNB_Glucose	YNB_Glucose
YPD_YPDA	YPD_T0A	TRUE	YPD	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/15/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	12		setB	Auxotrophy	YPD_YPD	YPD	YPD
YPD_YPDB	YPD_T0B	TRUE	YPD	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/15/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	12		setB	Auxotrophy	YPD_YPD	YPD	YPD
YPD_YPDC	YPD_T0C	TRUE	YPD	Auxotrophy	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	12/15/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	12		setB	Auxotrophy	YPD_YPD	YPD	YPD
Buoy_T40_A	Buoy_T0_A	TRUE	Fitness_During_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_T40	Fitness_During_Lipid_Accumulation	Fitness_During_Lipid_Accumulation
Buoy_T40_B	Buoy_T0_B	TRUE	Fitness_During_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_T40	Fitness_During_Lipid_Accumulation	Fitness_During_Lipid_Accumulation
